taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
2	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Archaea		Archaea	Archaea			kingdom			accepted			Archaea					
1000029	7ddf754f-d193-4cc9-b351-99906754a03b	1000027			Staphylothermus marinus Stetter & Fiala, 1986	Stetter & Fiala, 1986	Staphylothermus marinus	Staphylothermus	marinus		species		Int. J. Syst. Bacteriol. 36::573	accepted			Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus
1000310	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus woesei Zillig, 1988	Zillig, 1988	Pyrococcus woesei	Pyrococcus	woesei		species		Int. J. Syst. Bacteriol. 38::136	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
3801	7ddf754f-d193-4cc9-b351-99906754a03b	1192			Methanobacteriaceae		Methanobacteriaceae	Methanobacteriaceae			family			accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	
1000132	7ddf754f-d193-4cc9-b351-99906754a03b	1000122	1000131		Methanobacterium thermoflexum Kotelnikova et al., 1994	Kotelnikova et al., 1994	Methanobacterium thermoflexum	Methanobacterium	thermoflexum		species		Int. J. Syst. Bacteriol. 44::182	synonym			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
3804	7ddf754f-d193-4cc9-b351-99906754a03b	1192			Methanothermaceae		Methanothermaceae	Methanothermaceae			family			accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	
5900908	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus qingdaonensis Wang et al., 2007	Wang et al., 2007	Halococcus qingdaonensis	Halococcus	qingdaonensis		species		Int. J. Syst. Evol. Microbiol. 57::603	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
7462668	7ddf754f-d193-4cc9-b351-99906754a03b	7965877			Methanoregula formicica Yashiro et al., 2011	Yashiro et al., 2011	Methanoregula formicica	Methanoregula	formicica		species		Int. J. Syst. Evol. Microbiol. 61::58	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula
4983780	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus morrhuae (Farlow, 1880) Kocur & Hodgkiss, 1973	Kocur & Hodgkiss, 1973 (Farlow, 1880)	Halococcus morrhuae	Halococcus	morrhuae		species		Int. J. Syst. Bacteriol. 30::307	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
4983781	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus dombrowskii Stan-Lotter et al., 2002	Stan-Lotter et al., 2002	Halococcus dombrowskii	Halococcus	dombrowskii		species		Int. J. Syst. Evol. Microbiol. 52::1813	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
8797143	6cfd67d6-4f9b-400b-8549-1933ac27936f	1000165			Halococcus agglomeratus		Halococcus agglomeratus	Halococcus	agglomeratus		species			accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
1000312	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus horikoshii González et al., 1999	González et al., 1999	Pyrococcus horikoshii	Pyrococcus	horikoshii		species		Int. J. Syst. Bacteriol. 49::1325	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
7517288	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum sulfidifaciens Cui et al., 2007	Cui et al., 2007	Natronorubrum sulfidifaciens	Natronorubrum	sulfidifaciens		species		Int. J. Syst. Evol. Microbiol. 57::740	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum
