taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus	nomenclaturalCode	tempAuthor
2	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Archaea	x	Archaea	Archaea			kingdom			accepted			Archaea							
1000029	7ddf754f-d193-4cc9-b351-99906754a03b	1000027			Staphylothermus marinus	x	Staphylothermus marinus	Staphylothermus	marinus		species		Int. J. Syst. Bacteriol. 36::573	accepted			Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus		Stetter & Fiala, 1986
1000310	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus woesei	x	Pyrococcus woesei	Pyrococcus	woesei		species		Int. J. Syst. Bacteriol. 38::136	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus		Zillig, 1988
3801	7ddf754f-d193-4cc9-b351-99906754a03b	1192			Methanobacteriaceae	x	Methanobacteriaceae	Methanobacteriaceae			family			accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae			
1000132	7ddf754f-d193-4cc9-b351-99906754a03b	1000122	1000131		Methanobacterium thermoflexum	x	Methanobacterium thermoflexum	Methanobacterium	thermoflexum		species		Int. J. Syst. Bacteriol. 44::182	synonym			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter		Kotelnikova et al., 1994
3804	7ddf754f-d193-4cc9-b351-99906754a03b	1192			Methanothermaceae	x	Methanothermaceae	Methanothermaceae			family			accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae			
5900908	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus qingdaonensis	x	Halococcus qingdaonensis	Halococcus	qingdaonensis		species		Int. J. Syst. Evol. Microbiol. 57::603	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus		Wang et al., 2007
7462668	7ddf754f-d193-4cc9-b351-99906754a03b	7965877			Methanoregula formicica	x	Methanoregula formicica	Methanoregula	formicica		species		Int. J. Syst. Evol. Microbiol. 61::58	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula		Yashiro et al., 2011
4983780	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus morrhuae	x	Halococcus morrhuae	Halococcus	morrhuae		species		Int. J. Syst. Bacteriol. 30::307	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus		Kocur & Hodgkiss, 1973 (Farlow, 1880)
4983781	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus dombrowskii	x	Halococcus dombrowskii	Halococcus	dombrowskii		species		Int. J. Syst. Evol. Microbiol. 52::1813	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus		Stan-Lotter et al., 2002
