taxonID	taxonID	nomenclaturalCode	scientificName	scientificNameAuthorship	taxonomicStatus	taxonRank	datasetID	priority	nomenclaturalStatus	nameAccordingTo	namePublishedIn	taxonRemarks	provenance	verbatimNomenclaturalCode	verbatimTaxonomicStatus	verbatimNomenclaturalStatus	verbatimTaxonRemarks
GTDB:cc5e4fc46959a70344a2d8744e1130a3	GTDB:cc5e4fc46959a70344a2d8744e1130a3	BC	Archaea		accepted	kingdom	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:cc5e4fc46959a70344a2d8744e1130a3	2		Archaea		accepted	kingdom	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c	0					Bare scientific name reallocated to Archaea by taxonomy builder		accepted		
24	24		Euryarchaeota		accepted	phylum	7ddf754f-d193-4cc9-b351-99906754a03b	0							accepted		
GTDB:954d967698aeef4631018dd65e3aff74	GTDB:954d967698aeef4631018dd65e3aff74	BC	Halobacteriota		accepted	phylum	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b	GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b	BC	Thermoproteota		accepted	phylum	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:ef05b06bf7dd205ff326f4e16d9588cd	GTDB:ef05b06bf7dd205ff326f4e16d9588cd	BC	Bathyarchaeia		accepted	class	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:eab02f5b2eabe584134e2604571b6be6	160		Halobacteria		accepted	class	7ddf754f-d193-4cc9-b351-99906754a03b	0					Bare scientific name reallocated to Halobacteria by taxonomy builder		accepted		
GTDB:eab02f5b2eabe584134e2604571b6be6	GTDB:eab02f5b2eabe584134e2604571b6be6	BC	Halobacteria		accepted	class	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:21a495723c3015eb5747d52df591c4e4	GTDB:21a495723c3015eb5747d52df591c4e4	BC	40CM-2-53-6		accepted	order	GTDB_ar122_taxonomy_r95	-110						BC	accepted		
GTDB:8626978989306ab5cc719a7a09acc9e7	565		Halobacteriales		accepted	order	7ddf754f-d193-4cc9-b351-99906754a03b	0					Bare scientific name reallocated to Halobacteriales by taxonomy builder		accepted		
GTDB:8626978989306ab5cc719a7a09acc9e7	GTDB:8626978989306ab5cc719a7a09acc9e7	BC	Halobacteriales		accepted	order	GTDB_ar122_taxonomy_r95	0						BC	accepted		
3802	3802		Halobacteriaceae		accepted	family	7ddf754f-d193-4cc9-b351-99906754a03b	0							accepted		
GTDB:5f6eb2593ff132efdb54babe21306a62	GTDB:5f6eb2593ff132efdb54babe21306a62	BC	40CM-2-53-6		accepted	family	GTDB_ar122_taxonomy_r95	-110						BC	accepted		
GTDB:951001dbf4a9d2357754322bf68d4225	GTDB:951001dbf4a9d2357754322bf68d4225	BC	Halococcaceae		accepted	family	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:fc873175d73c6bcf8236afae2120b354	GTDB:fc873175d73c6bcf8236afae2120b354	BC	40CM-2-53-6		accepted	genus	GTDB_ar122_taxonomy_r95	-110						BC	accepted		
