"dcterms:type","dcterms:subject","dcterms:description","dcterms:date","dwc:taxonID","dwc:scientificName","dwc:scientificNameAuthorship","ala:nameComplete","dwc:nomenclaturalCode","dwc:taxonRank","dwc:taxonomicStatus","dwc:associatedTaxa","dwc:datasetID","ala:value"
"COUNT","count.homonym","12 homonyms (cross-code)",,,,,,,,,,,"12"
"COUNT","count.load.instance","Loaded 47 taxon concept instances",,,,,,,,,,,"47"
"COUNT","count.load.name.INFORMAL","Load has 7 informal names",,,,,,,,,,,"7"
"COUNT","count.load.name.PLACEHOLDER","Load has 7 placeholder names",,,,,,,,,,,"7"
"COUNT","count.load.name.SCIENTIFIC","Load has 33 scientific names",,,,,,,,,,,"33"
"COUNT","count.name.BareName.principal","Allocated 34 principals to bare scientific names",,,,,,,,,,,"34"
"COUNT","count.name.ScientificName.principal","Allocated 47 principals to scientific names",,,,,,,,,,,"47"
"COUNT","count.name.UnrankedScientificName.principal","Allocated 45 principals to unranked scientific names",,,,,,,,,,,"45"
"COUNT","count.reallocate.scientificName","Reallocated 11 scientific names",,,,,,,,,,,"11"
"COUNT","count.reallocate.taxonConcept","Reallocated 11 taxon concepts",,,,,,,,,,,"11"
"COUNT","count.reallocate.unrankedScientificName","Reallocated 11 unranked scientific names",,,,,,,,,,,"11"
"COUNT","count.resolve.instance.links","Resolved 47 instance links",,,,,,,,,,,"47"
"COUNT","count.resolve.scientificName.principal","Resolved 47 principal taxon concepts onto scientific names",,,,,,,,,,,"47"
"COUNT","count.resolve.taxonConcept","Resolved 47 taxon concepts to principal taxon concepts",,,,,,,,,,,"47"
"COUNT","count.resolve.taxonConceptInstance","Resolved 47 taxon concept instance into taxon concepts",,,,,,,,,,,"47"
"COUNT","count.resolve.uncodedScientificName.principal","Resolved 34 principal unranked names onto uncoded names",,,,,,,,,,,"34"
"COUNT","count.resolve.unrankedScientificName.principal","Resolved 45 principal scientific names onto unranked names",,,,,,,,,,,"45"
"COUNT","count.write.scientificName","Written 36 scientific names",,,,,,,,,,,"36"
"COUNT","count.write.taxonConcept","Written 36 taxon concepts",,,,,,,,,,,"36"
"COUNT","count.write.taxonConceptInstance","Written 47 taxon concept instances (taxon variants)",,,,,,,,,,,"47"
"NOTE","taxonomy.load.as_is","Difficult name TCI[GTDB_ar122_taxonomy_r95:GTDB:30109b6cd267baaf9eef08ebcf10813c, 40CM-2-53-6 sp005882905, null, SPECIES, ACCEPTED] using as-is","2020-11-16T18:19:19.098+01:00","GTDB:30109b6cd267baaf9eef08ebcf10813c","40CM-2-53-6 sp005882905","","40CM-2-53-6 sp005882905","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.placeholder","Name TCI[GTDB_ar122_taxonomy_r95:GTDB:97e5d1c59233e0c0198af7a55e9ec1cd, Halococcus sp003602035, null, SPECIES, ACCEPTED] is a placeholder, treating as a unique name","2020-11-16T18:19:19.079+01:00","GTDB:97e5d1c59233e0c0198af7a55e9ec1cd","Halococcus sp003602035","","Halococcus sp003602035","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
