taxonID	identifier	datasetID	title	status	source	taxonRemarks	taxonID
GTDB:cc5e4fc46959a70344a2d8744e1130a3	2	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c	Taxon	current			
GTDB:cc5e4fc46959a70344a2d8744e1130a3	GTDB:cc5e4fc46959a70344a2d8744e1130a3	GTDB_ar122_taxonomy_r95	Taxon	current			
24	24	7ddf754f-d193-4cc9-b351-99906754a03b	Taxon	current			
GTDB:954d967698aeef4631018dd65e3aff74	GTDB:954d967698aeef4631018dd65e3aff74	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b	GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:ef05b06bf7dd205ff326f4e16d9588cd	GTDB:ef05b06bf7dd205ff326f4e16d9588cd	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:eab02f5b2eabe584134e2604571b6be6	GTDB:eab02f5b2eabe584134e2604571b6be6	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:eab02f5b2eabe584134e2604571b6be6	160	7ddf754f-d193-4cc9-b351-99906754a03b	Taxon	current			
GTDB:21a495723c3015eb5747d52df591c4e4	GTDB:21a495723c3015eb5747d52df591c4e4	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:8626978989306ab5cc719a7a09acc9e7	GTDB:8626978989306ab5cc719a7a09acc9e7	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:8626978989306ab5cc719a7a09acc9e7	565	7ddf754f-d193-4cc9-b351-99906754a03b	Taxon	current			
GTDB:5f6eb2593ff132efdb54babe21306a62	GTDB:5f6eb2593ff132efdb54babe21306a62	GTDB_ar122_taxonomy_r95	Taxon	current			
3802	3802	7ddf754f-d193-4cc9-b351-99906754a03b	Taxon	current			
GTDB:951001dbf4a9d2357754322bf68d4225	GTDB:951001dbf4a9d2357754322bf68d4225	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:fc873175d73c6bcf8236afae2120b354	GTDB:fc873175d73c6bcf8236afae2120b354	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:5ffcff3c373049003e3f11f8310562d9	GTDB:5ffcff3c373049003e3f11f8310562d9	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:4e52b04254ef3b16c6b0577657129ce3	GTDB:4e52b04254ef3b16c6b0577657129ce3	GTDB_ar122_taxonomy_r95	Taxon	current			
1000165	1000165	7ddf754f-d193-4cc9-b351-99906754a03b	Taxon	current			
GTDB:30109b6cd267baaf9eef08ebcf10813c	GTDB:30109b6cd267baaf9eef08ebcf10813c	GTDB_ar122_taxonomy_r95	Taxon	current			
GTDB:621087c4ab9945cee6a035ef6d98ffe0	GTDB:621087c4ab9945cee6a035ef6d98ffe0	GTDB_ar122_taxonomy_r95	Taxon	current			
9191210	9191210	6cfd67d6-4f9b-400b-8549-1933ac27936f	Taxon	current			
GTDB:ef9cde04e9cf497c66e3c7d59bb23da7	GTDB:ef9cde04e9cf497c66e3c7d59bb23da7	GTDB_ar122_taxonomy_r95	Taxon	current			
7698467	7698467	52a423d2-0486-4e77-bcee-6350d708d6ff	Taxon	current			
8797143	8797143	6cfd67d6-4f9b-400b-8549-1933ac27936f	Taxon	current			
4983781	4983781	7ddf754f-d193-4cc9-b351-99906754a03b	Taxon	current			
GTDB:6801be24c6b0d2f6292e208cff2107eb	GTDB:6801be24c6b0d2f6292e208cff2107eb	GTDB_ar122_taxonomy_r95	Taxon	current			
4983779	4983779	7ddf754f-d193-4cc9-b351-99906754a03b	Taxon	current			
GTDB:b17191f882f8d78f73e574c6432c5b80	GTDB:b17191f882f8d78f73e574c6432c5b80	GTDB_ar122_taxonomy_r95	Taxon	current			
4983780	4983780	7ddf754f-d193-4cc9-b351-99906754a03b	Taxon	current			
9011739	9011739	6cfd67d6-4f9b-400b-8549-1933ac27936f	Taxon	current			
5900908	5900908	7ddf754f-d193-4cc9-b351-99906754a03b	Taxon	current			
GTDB:1b91f1097cdcc2209b7bf58c687df257	GTDB:1b91f1097cdcc2209b7bf58c687df257	GTDB_ar122_taxonomy_r95	Taxon	current			
