taxonID	parentNameUsageID	acceptedNameUsageID	nomenclaturalCode	scientificName	scientificNameAuthorship	taxonomicStatus	taxonRank	datasetID	nomenclaturalStatus	specificEpithet	infraspecificEpithet	nameAccordingTo	namePublishedIn	taxonRemarks	genericName	canonicalName	originalNameUsageID
GTDB:cc5e4fc46959a70344a2d8744e1130a3			BC	Archaea		accepted	kingdom	GTDB_ar122_taxonomy_r95									
24	GTDB:cc5e4fc46959a70344a2d8744e1130a3		BC	Euryarchaeota		accepted	phylum	7ddf754f-d193-4cc9-b351-99906754a03b							Euryarchaeota	Euryarchaeota	
GTDB:954d967698aeef4631018dd65e3aff74	GTDB:cc5e4fc46959a70344a2d8744e1130a3		BC	Halobacteriota		accepted	phylum	GTDB_ar122_taxonomy_r95									
GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b	GTDB:cc5e4fc46959a70344a2d8744e1130a3		BC	Thermoproteota		accepted	phylum	GTDB_ar122_taxonomy_r95									
GTDB:ef05b06bf7dd205ff326f4e16d9588cd	GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b		BC	Bathyarchaeia		accepted	class	GTDB_ar122_taxonomy_r95									
GTDB:eab02f5b2eabe584134e2604571b6be6	GTDB:954d967698aeef4631018dd65e3aff74		BC	Halobacteria		accepted	class	GTDB_ar122_taxonomy_r95									
GTDB:21a495723c3015eb5747d52df591c4e4	GTDB:ef05b06bf7dd205ff326f4e16d9588cd		BC	40CM-2-53-6		accepted	order	GTDB_ar122_taxonomy_r95									
GTDB:8626978989306ab5cc719a7a09acc9e7	GTDB:eab02f5b2eabe584134e2604571b6be6		BC	Halobacteriales		accepted	order	GTDB_ar122_taxonomy_r95									
GTDB:5f6eb2593ff132efdb54babe21306a62	GTDB:21a495723c3015eb5747d52df591c4e4		BC	40CM-2-53-6		accepted	family	GTDB_ar122_taxonomy_r95									
3802	GTDB:8626978989306ab5cc719a7a09acc9e7		BC	Halobacteriaceae		accepted	family	7ddf754f-d193-4cc9-b351-99906754a03b							Halobacteriaceae	Halobacteriaceae	
GTDB:951001dbf4a9d2357754322bf68d4225	GTDB:8626978989306ab5cc719a7a09acc9e7		BC	Halococcaceae		accepted	family	GTDB_ar122_taxonomy_r95									
