taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	nomenclaturalCode
2	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Archaea		Archaea	Archaea			kingdom			accepted			BC
1000029	7ddf754f-d193-4cc9-b351-99906754a03b	1000027			Staphylothermus marinus	"Stetter & Fiala, 1986"	Staphylothermus marinus	Staphylothermus	marinus		species		Int. J. Syst. Bacteriol. 36::573	accepted			BC
1000310	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus woesei	"Zillig, 1988"	Pyrococcus woesei	Pyrococcus	woesei		species		Int. J. Syst. Bacteriol. 38::136	accepted			BC
3801	7ddf754f-d193-4cc9-b351-99906754a03b	1192			Methanobacteriaceae		Methanobacteriaceae	Methanobacteriaceae			family			accepted			BC
1000132	7ddf754f-d193-4cc9-b351-99906754a03b	1000122	1000131		Methanobacterium thermoflexum	"Kotelnikova et al., 1994"	Methanobacterium thermoflexum	Methanobacterium	thermoflexum		species		Int. J. Syst. Bacteriol. 44::182	synonym			BC
3804	7ddf754f-d193-4cc9-b351-99906754a03b	1192			Methanothermaceae		Methanothermaceae	Methanothermaceae			family			accepted			BC
5900908	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus qingdaonensis	"Wang et al., 2007"	Halococcus qingdaonensis	Halococcus	qingdaonensis		species		Int. J. Syst. Evol. Microbiol. 57::603	accepted			BC
7462668	7ddf754f-d193-4cc9-b351-99906754a03b	7965877			Methanoregula formicica	"Yashiro et al., 2011"	Methanoregula formicica	Methanoregula	formicica		species		Int. J. Syst. Evol. Microbiol. 61::58	accepted			BC
4983780	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus morrhuae	"Kocur & Hodgkiss, 1973 (Farlow, 1880)"	Halococcus morrhuae	Halococcus	morrhuae		species		Int. J. Syst. Bacteriol. 30::307	accepted			BC
4983781	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus dombrowskii	"Stan-Lotter et al., 2002"	Halococcus dombrowskii	Halococcus	dombrowskii		species		Int. J. Syst. Evol. Microbiol. 52::1813	accepted			BC
8797143	6cfd67d6-4f9b-400b-8549-1933ac27936f	1000165			Halococcus agglomeratus		Halococcus agglomeratus	Halococcus	agglomeratus		species			accepted			BC
1000312	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus horikoshii	"González et al., 1999"	Pyrococcus horikoshii	Pyrococcus	horikoshii		species		Int. J. Syst. Bacteriol. 49::1325	accepted			BC
7517288	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum sulfidifaciens	"Cui et al., 2007"	Natronorubrum sulfidifaciens	Natronorubrum	sulfidifaciens		species		Int. J. Syst. Evol. Microbiol. 57::740	accepted			BC
7544901	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus thailandensis	"Namwong et al., 2007"	Halococcus thailandensis	Halococcus	thailandensis		species		Int. J. Syst. Evol. Microbiol. 57::2202	accepted			BC
7800119	52a423d2-0486-4e77-bcee-6350d708d6ff	1000165			Halococcus sediminicola	"Yim et al., 2014"	Halococcus sediminicola	Halococcus	sediminicola		species		Int. J. Syst. Evol. Microbiol. 64::1455	accepted			BC
5900700	2d59e5db-57ad-41ff-97d6-11f5fb264527	1000308			Pyrococcus abyssi	"Erauso, Reysenbach, Godfroy, Meunier, Crump, Partensky, Baross, Marteinsson, Barbier, Pace & Prieur, 1993"	Pyrococcus abyssi	Pyrococcus	abyssi		species		"Erauso, G., Reysenbach, A.L., Godfroy, A., Meunier, J.R., Crump, B., Partensky, F., Baross, J.A., Marteinsson, V., Barbier, G., Pace, N.R., and Prieur, D. ""Pyrococcus abyssi sp. nov., a new hyperthermophilic archaeon isolated from a deep-sea hydrothermalvent."" Arch. Microbiol. (1993) 160:338-349."	accepted			BC
