taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	otu	asv	nomenclaturalCode
GTDB:cc5e4fc46959a70344a2d8744e1130a3	GTDB_ar122_taxonomy_r95				Archaea				kingdom			accepted			Archaea										BACTERIAL
GTDB:448f0866e48ff45597b0413bbf6ff99a	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003022685				species			accepted			Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	sp003022685				BACTERIAL
GTDB:6801be24c6b0d2f6292e208cff2107eb	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus hamelinensis				species			accepted			Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	hamelinensis				BACTERIAL
GTDB:645f1bd26c5f721680cba2d1ef870968	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003022925				species			accepted			Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	sp003022925				BACTERIAL
GTDB:6f6b57f451247e72a0efb09cb7f19662	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003021235				species			accepted			Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	sp003021235				BACTERIAL
GTDB:93f30bca56a26bd85707cc771ca6dadc	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus salifodinae				species			accepted			Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	salifodinae				BACTERIAL
GTDB:af1d3ae155e02f6b1c477c6c180c9dce	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003021045				species			accepted			Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	sp003021045				BACTERIAL
GTDB:6a637e69b3c9357813d0f0ae50b79af2	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus thailandensis				species			accepted			Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	thailandensis				BACTERIAL
GTDB:750ff0523c6fd3681e0e6e881d0aa45c	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003021705				species			accepted			Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	sp003021705				BACTERIAL
GTDB:ddac9128cfc2d9b1ce3d6f0436cfd036	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003021725				species			accepted			Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	sp003021725				BACTERIAL
