taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	taxonRank	taxonomicStatus	nomenclaturalCode
GTDB:cc5e4fc46959a70344a2d8744e1130a3	GTDB_ar122_taxonomy_r95				Archaea		kingdom	accepted	BC
GTDB:448f0866e48ff45597b0413bbf6ff99a	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003022685		species	accepted	BC
GTDB:6801be24c6b0d2f6292e208cff2107eb	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus hamelinensis		species	accepted	BC
GTDB:645f1bd26c5f721680cba2d1ef870968	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003022925		species	accepted	BC
GTDB:6f6b57f451247e72a0efb09cb7f19662	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003021235		species	accepted	BC
GTDB:93f30bca56a26bd85707cc771ca6dadc	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus salifodinae		species	accepted	BC
GTDB:af1d3ae155e02f6b1c477c6c180c9dce	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003021045		species	accepted	BC
GTDB:6a637e69b3c9357813d0f0ae50b79af2	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus thailandensis		species	accepted	BC
GTDB:750ff0523c6fd3681e0e6e881d0aa45c	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003021705		species	accepted	BC
GTDB:ddac9128cfc2d9b1ce3d6f0436cfd036	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003021725		species	accepted	BC
GTDB:1b91f1097cdcc2209b7bf58c687df257	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus saccharolyticus		species	accepted	BC
GTDB:b17191f882f8d78f73e574c6432c5b80	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus morrhuae		species	accepted	BC
GTDB:b3d99722b65c67582032bc0ba6bd4197	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sediminicola		species	accepted	BC
GTDB:ef9cde04e9cf497c66e3c7d59bb23da7	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus agarilyticus		species	accepted	BC
GTDB:97e5d1c59233e0c0198af7a55e9ec1cd	GTDB_ar122_taxonomy_r95	GTDB:4e52b04254ef3b16c6b0577657129ce3			Halococcus sp003602035		species	accepted	BC
GTDB:954d967698aeef4631018dd65e3aff74	GTDB_ar122_taxonomy_r95	GTDB:cc5e4fc46959a70344a2d8744e1130a3			Halobacteriota		phylum	accepted	BC
GTDB:8626978989306ab5cc719a7a09acc9e7	GTDB_ar122_taxonomy_r95	GTDB:eab02f5b2eabe584134e2604571b6be6			Halobacteriales		order	accepted	BC
GTDB:eab02f5b2eabe584134e2604571b6be6	GTDB_ar122_taxonomy_r95	GTDB:954d967698aeef4631018dd65e3aff74			Halobacteria		class	accepted	BC
GTDB:4e52b04254ef3b16c6b0577657129ce3	GTDB_ar122_taxonomy_r95	GTDB:951001dbf4a9d2357754322bf68d4225			Halococcus		genus	accepted	BC
GTDB:951001dbf4a9d2357754322bf68d4225	GTDB_ar122_taxonomy_r95	GTDB:8626978989306ab5cc719a7a09acc9e7			Halococcaceae		family	accepted	BC
GTDB:30109b6cd267baaf9eef08ebcf10813c	GTDB_ar122_taxonomy_r95	GTDB:fc873175d73c6bcf8236afae2120b354			40CM-2-53-6 sp005882905		species	accepted	BC
GTDB:621087c4ab9945cee6a035ef6d98ffe0	GTDB_ar122_taxonomy_r95	GTDB:5ffcff3c373049003e3f11f8310562d9			BA-19 sp005888735		species	accepted	BC
GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b	GTDB_ar122_taxonomy_r95	GTDB:cc5e4fc46959a70344a2d8744e1130a3			Thermoproteota		phylum	accepted	BC
GTDB:fc873175d73c6bcf8236afae2120b354	GTDB_ar122_taxonomy_r95	GTDB:5f6eb2593ff132efdb54babe21306a62			40CM-2-53-6		genus	accepted	BC
GTDB:5f6eb2593ff132efdb54babe21306a62	GTDB_ar122_taxonomy_r95	GTDB:21a495723c3015eb5747d52df591c4e4			40CM-2-53-6		family	accepted	BC
GTDB:21a495723c3015eb5747d52df591c4e4	GTDB_ar122_taxonomy_r95	GTDB:ef05b06bf7dd205ff326f4e16d9588cd			40CM-2-53-6		order	accepted	BC
GTDB:ef05b06bf7dd205ff326f4e16d9588cd	GTDB_ar122_taxonomy_r95	GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b			Bathyarchaeia		class	accepted	BC
GTDB:5ffcff3c373049003e3f11f8310562d9	GTDB_ar122_taxonomy_r95	GTDB:5f6eb2593ff132efdb54babe21306a62			BA-19		genus	accepted	BC
